HPLC VIAL COORDINATES,,,,,,
,1,2,3,4,5,6
A,103,104,105,106,107,108
B,91,92,93,94,95,96
C,79,80,81,82,83,84
D,67,68,69,70,71,72
E,55,56,57,58,59,60
F,43,44,45,46,47,48
G,31,32,33,34,35,36
H,19,20,21,22,23,24
I,7,8,9,10,N/A,12
,,,,,,
SOFTWARE OUTPUT SAMPLE NAMES,,,,,,
,1,2,3,4,5,6
A,IH_Met_Vial103_001,IH_Met_Vial104_002,IH_Met_Vial105_003,IH_Met_Vial106_004,IH_Met_Vial107_005,IH_Met_Vial108_006
B,IH_Met_Vial91_007,IH_Met_Vial92_008,IH_Met_Vial93_009,IH_Met_Vial94_010,IH_Met_Vial95_011,IH_Met_Vial96_012
C,IH_Met_Vial79_013,IH_Met_Vial80_014,IH_Met_Vial81_015,IH_Met_Vial82_016,IH_Met_Vial83_017,IH_Met_Vial84_018
D,IH_Met_Vial67_019,IH_Met_Vial68_020,IH_Met_Vial69_021,IH_Met_Vial70_022,IH_Met_Vial71_023,IH_Met_Vial72_024
E,IH_Met_Vial55_025,IH_Met_Vial56_026,IH_Met_Vial57_027,IH_Met_Vial58_028,IH_Met_Vial59_029,IH_Met_Vial60_030
F,IH_Met_Vial43_031,IH_Met_Vial44_032,IH_Met_Vial45_033,IH_Met_Vial46_034,IH_Met_Vial47_035,IH_Met_Vial48_036
G,IH_Met_Vial31_037,IH_Met_Vial32_038,IH_Met_Vial33_039,IH_Met_Vial34_040,IH_Met_Vial35_041,IH_Met_Vial36_042
H,IH_Met_Vial19_043,IH_Met_Vial20_044,IH_Met_Vial21_045,IH_Met_Vial22_046,IH_Met_Vial23_047,IH_Met_Vial24_048
I,IH_Met_Vial7_049,IH_Met_Vial8_050,IH_Met_Vial9_051,IH_Met_Vial10_052,N/A,IH_Met_Vial12_BLANK02
,,,,,,
MAPPED SOFTWARE OUTPUT SAMPLE NAMES,,,,,,
,1,2,3,4,5,6
A,HoSer,AceCoA,SucCoA,TetHF,GDP,ATP
B,Mal,Suc,Gal,Pyr,Asp,Cit
C,Isc,4-Am-But,SucSeAd,Glc,N-A-Glut,Fum
D,Orn,Glu,AlphaKeto,Met,BetaAla,STDPool
E,STDPool+YE,LC-MS-H2O+YE,A1,A2,A3,A4
F,A5,A6,B1,B2,B3,B4
G,B5,B6,C1,C2,C3,C4
H,C5,C6,D1,D2,D3,D4
I,D5,D6,CTRL-F,CTRL-S,N/A,LC-MS-H2O-BLANK
